Species	Specimen_ID	nm_volume	Vaa3D_volume
Mouse	578485753	2576.956587723369	177.060512347881
Mouse	477880128	1395.8755175855579	464.41676541077993
Mouse	562003142	1661.308372797169	876.189386627937
Mouse	574067499	6609.667982178404	142.83791670704701
Mouse	561532710	2113.2111407070224	624.628250566161
Mouse	523748610	2158.239492106956	120.731959014615
Mouse	614777438	5245.165858034386	107.889782283674
Mouse	547344442	5797.931158659215	854.1416677092059
Mouse	569810649	1513.0279280586317	238.787194983671
Mouse	555089724	1023.6111474304901	97.40650122921801
Mouse	476686112	3629.7464008921306	178.908970409166
Mouse	555019563	4218.446130381044	138.686990983289
Mouse	539014038	2606.323271840961	123.715922538259
Mouse	327962063	1178.4603814390207	180.44641369007599
Mouse	565209132	1700.9659916402911	362.289231098183
Mouse	570946690	4015.801788126189	1314.88151588483
Mouse	569809287	1376.7014433110285	572.298330688364
Mouse	573622646	4549.36557135498	750.970272539237
Mouse	534303031	4154.424723467041	398.048293966181
Mouse	526531616	2747.3233244134053	42.1509808614691
Mouse	471077857	3265.422888263583	188.431435171603
Mouse	572609108	4415.532620140888	9.884058715416279
Mouse	475202388	3415.2207090391234	16.1366347043345
Mouse	482516713	1647.519963277889	54.521240227161705
Mouse	469992918	4408.629681077254	198.85642774992198
Mouse	574734127	2251.0444729821675	703.942955247509
Mouse	565855793	3399.8096308985523	878.339557359769
Mouse	583138568	1326.1714813918707	191.13883261979
Mouse	565459685	2947.638272594065	257.90165891601697
Mouse	623185845	6004.160583754784	2028.54044048243
Mouse	570896413	1297.9587949405402	647.380020335601
Mouse	614767057	3437.4175572853087	254.598241916009
Mouse	583138230	1540.2750340884954	994.6333906737229
Mouse	582613001	945.6381611019448	366.38907413730203
Mouse	577218602	3170.6076822305245	296.376911676013
Mouse	382982932	5406.3953012764005	354.11256337496803
Mouse	487099387	1912.8153224388905	87.90368175052309
Mouse	547325858	8664.878900973727	502.796923128238
Mouse	593312584	1387.1023350808346	229.294123552241
Mouse	584231995	3377.7891371332594	120.91276265926399
Mouse	490387590	4100.980154312846	170.650878850215
Mouse	488504814	3458.3293332295125	492.224651003076
Mouse	565417112	1685.4708917726362	340.451811311012
Mouse	567007144	1513.172793706013	348.215062003631
Mouse	534141324	3274.643062963569	506.203946891791
Mouse	585952606	1352.4521238062014	97.53203416835609
Mouse	569494755	2238.5049556523472	372.781037647022
Mouse	567312865	7486.918018041109	1317.07761361283
Mouse	509617624	3007.145195905623	240.603641068059
Mouse	560992553	2239.331218745527	318.533918386891
Mouse	583146274	910.5113183645442	358.23632717066596
Mouse	487661754	3677.5960992685164	927.953076816344
Mouse	565880475	1627.505203205208	234.387814820134
Mouse	569072334	2951.9666473789703	407.18017128187006
Mouse	567927838	3460.367697340823	445.876603687997
Mouse	313862167	3074.544326317512	512.836253022058
Mouse	574377552	2836.4598842123114	422.8506251822
Mouse	554779051	2296.091427535889	44.018815391859796
Mouse	561940338	1713.962884228571	269.88381162534
Mouse	579626068	3273.507183273577	514.88395406068
Mouse	580014328	4568.13725767187	922.9089855583079
Mouse	556968207	2798.027326457444	618.7256282353981
Mouse	478110866	1030.459498838008	573.012647232831
Mouse	471087830	3402.8915939736466	188.802895018206
Mouse	569670455	2316.7774412608514	508.71462981257304
Mouse	567029686	2487.779302960225	336.958001428879
Mouse	473564515	2988.220167713736	134.554469689956
Mouse	591268268	3475.912266596348	69.1441455011549
Mouse	586072188	1009.7979374501327	773.209133286084
Mouse	502269786	5926.681327281987	261.856030691327
Mouse	574059157	3217.862747408029	382.32395961715304
Mouse	561517025	5288.426794460502	259.300067394756
Mouse	560753350	9627.084515368042	973.629854687597
Mouse	535728342	2117.475758588204	147.199537122497
