Species	Specimen_ID	Soma_Volume	Soma_Surface_Area	Soma_Radius
Mouse	565863515	1001.3039058183916	484.0178720400849	6.2062
Mouse	586071425	600.3651905731504	344.1605816061474	5.2333
Mouse	557261437	1043.4094149547225	497.4933637737075	6.292
Mouse	571311039	1228.6175083004139	554.7473773970142	6.6442
Mouse	571396942	702.6275260084034	382.20898966912245	5.515
Mouse	584254833	1074.4574716675747	507.31411360173826	6.3538
Mouse	510715606	984.6979441205262	478.65155992053707	6.1717
Mouse	561985849	2340.7992625876504	852.5638339844297	8.2368
Mouse	565209132	1391.0666619310348	602.6281567932281	6.925
Mouse	585946742	219.4473401448496	175.9425999344029	3.7418
Mouse	565462089	1314.5926647312724	580.3343282066331	6.7957
Mouse	570946690	1398.4921616303789	604.7708020254474	6.9373
Mouse	547325858	3015.111853243489	1009.2987681020384	8.962
Mouse	567029686	856.1405952253377	436.02780505492115	5.8905
Mouse	569670455	726.0448305026285	390.6547262192205	5.5756
Mouse	593312584	746.8275386384202	398.0744835767923	5.6283
Mouse	584231995	2324.807618077107	848.6764242189487	8.218
Mouse	490387590	1229.0613596403032	554.8809750069089	6.645
Mouse	488504814	1043.4094149547225	497.4933637737075	6.292
Mouse	565417112	268.8876253414498	201.46425475133606	4.004
Mouse	471087830	1036.2618934670663	495.21882254383826	6.2776
Mouse	567007144	783.5178571906813	411.0077935953915	5.719
Mouse	534141324	1208.589996665255	548.702309356341	6.6079
Mouse	478110866	152.95394272775795	138.31137815989686	3.3176
Mouse	556968207	1926.5120601938359	748.7415702269086	7.719
Mouse	580014328	2089.170519399603	790.3146825127118	7.9304
Mouse	585952606	415.1300777746301	269.1164581377121	4.6277
Mouse	579626068	1038.9383761030474	496.0711647794274	6.283
Mouse	569494755	643.4112944481833	360.42085395286153	5.3555
Mouse	567312865	1803.0114690417602	716.3904438341386	7.5504
Mouse	509617624	683.8774839564454	375.3787305588393	5.4655
Mouse	560992553	583.8951817098724	337.83713502982016	5.185
Mouse	583146274	430.0254337893777	275.5160390757161	4.6824
Mouse	561940338	736.6042239483539	394.43331938332204	5.6025
Mouse	554779051	831.9116592225927	427.7620625373266	5.8344
Mouse	487661754	1103.686212225251	516.4732934027599	6.4109
Mouse	565880475	522.5313602676636	313.7321540253354	4.9966
Mouse	574377552	1072.1255158406777	506.579812814533	6.3492
Mouse	569072334	921.6205222352033	457.9860140310767	6.037
Mouse	473564515	1071.0620500530001	506.2447653509478	6.3471
Mouse	591268268	1229.1723391754795	554.9143769226567	6.6452
Mouse	487099387	1103.9961252044257	516.5699720210991	6.4115
Mouse	560753350	4710.460256957254	1358.91727770668	10.399
Mouse	569809287	699.4218580698248	381.0455769820714	5.5066
Mouse	566647353	871.6689270146244	441.2843249200751	5.9259
