Species	Specimen_ID	Vaa3D_volume
Human	531517732	2383.6748013119395
Human	614651270	2520.17139182953
Human	530081951	167.851906876695
Human	569100745	1920.0928576835897
Human	569825715	841.237745435209
Human	596036453	391.774375264526
Human	541545716	1470.61320335526
Human	527941296	2349.2789237594
Human	576120017	4986.31699669052
Human	526725807	2277.7238492696
Human	526727406	3554.60531499024
Human	571642127	2131.9074791300895
Human	539537094	9055.85335591654
Human	528602977	1673.450894414
Human	528687520	273.870722177152
Human	488386504	107.626503908893
Human	539653924	2705.08035588739
Human	508279351	1505.2320499428101
Human	569818704	3156.1074408107106
Human	537297470	3940.48182530585
Human	571430815	915.114938008914
Human	508405843	512.427428189707
Human	571666289	3518.1248194896802
Human	520454345	3178.8378760361898
Human	596028822	176.790732893325
Human	571450870	1535.74858211992
Human	548440226	3555.7455793645704
Human	520631294	3561.2570799766704
Human	569849486	979.073294732097
Human	537218493	2343.02952851904
Human	571654895	2185.15797802831
Human	571700636	2028.83524328207
Human	548425467	1667.9115637578
Human	537313158	2595.53743481913
Human	569107566	637.290194204194
Human	528614014	4032.19887070084
Human	548457754	394.718222420215
Human	611610514	1397.1677169808802
Human	528015670	699.428316659909
Human	531523484	2946.25722041466
Human	528623840	826.537191419944
Human	541563728	2489.41526061686
Human	529878215	2355.7650594674
Human	562381210	2971.0378166788105
Human	595570553	1175.2581119516099
Human	558211203	3125.88298343323
Human	529863215	5968.433592800289
Human	567742660	424.808293555307
Human	571520182	896.683670643788
Human	488418027	904.463394681945
Human	571659461	1704.4588002713
Human	531517778	7091.88707376923
Human	539542640	3584.4529994515
Human	529889679	1738.4435250482502
Human	537313600	1721.22879827949
Human	569844159	1653.5939617704198
Human	528636794	1404.07900242198
Human	576107598	2183.44450490016
Human	508298270	7924.62268707155
Human	545612828	16108.163739313
Human	527952884	924.634884796079
Human	561469082	2115.0581929602
Human	601958555	2371.63208624457
