Species	Specimen_ID	Total_Volume	Total_Surface_Area
Mouse	573622646	4549.36557135498	25442.0613269168
Mouse	534303031	4154.424723467041	27817.487598840726
Mouse	526531616	2747.323324413405	18548.83081245304
Mouse	471077857	3265.422888263583	11765.101606027338
Mouse	572609108	4415.532620140888	16536.61469788016
Mouse	475202388	3415.2207090391234	9971.067213579337
Mouse	482516713	1647.519963277889	10125.833451506152
Mouse	469992918	4408.629681077254	11219.494299311133
Mouse	574734127	2251.0444729821675	17376.989175166276
Mouse	565855793	3399.8096308985523	16187.354428427467
Mouse	583138568	1326.1714813918707	9335.15873669887
Mouse	565459685	2947.638272594065	30357.006841021743
Mouse	623185845	6004.160583754784	14824.24029827583
Mouse	570896413	1297.9587949405402	6743.64332122876
Mouse	614767057	3437.417557285309	16196.315290499877
Mouse	583138230	1540.2750340884957	10178.959387042407
Mouse	582613001	945.6381611019449	6074.25662002415
Mouse	577218602	3170.607682230524	9238.237287185362
Mouse	382982932	5406.395301276401	10624.487164604881
Mouse	487099387	1912.8153224388902	7305.1455805900805
Mouse	547325858	8664.878900973727	43340.7179992545
Mouse	593312584	1387.1023350808348	8344.944896271865
Mouse	584231995	3377.789137133259	12069.701014155356
Mouse	490387590	4100.980154312846	17030.9248836356
Mouse	488504814	3458.3293332295125	9015.543149082216
Mouse	565417112	1685.4708917726362	16557.03196570156
Mouse	567007144	1513.172793706013	8504.78376248447
Mouse	534141324	3274.6430629635684	15578.243998841686
Mouse	585952606	1352.4521238062014	11273.976968204182
Mouse	569494755	2238.504955652347	10462.719134857833
Mouse	567312865	7486.918018041109	38047.62674946084
Mouse	509617624	3007.145195905623	13368.35377777326
Mouse	560992553	2239.331218745527	15727.415980102862
Mouse	583146274	910.5113183645442	5480.759102588365
Mouse	487661754	3677.596099268516	12168.399250730045
Mouse	565880475	1627.505203205208	10000.988415873664
Mouse	569072334	2951.9666473789703	12102.329423699903
Mouse	567927838	3460.3676973408224	19022.326732501628
Mouse	313862167	3074.5443263175125	13600.831464512396
Mouse	574377552	2836.4598842123114	11473.320912601002
Mouse	554779051	2296.0914275358887	14007.823684507342
Mouse	561940338	1713.9628842285713	8511.400948575962
Mouse	579626068	3273.5071832735775	18592.559933944995
Mouse	580014328	4568.137257671871	18885.8561982254
Mouse	556968207	2798.027326457444	13608.976277087557
Mouse	478110866	1030.4594988380081	11163.975287735197
Mouse	471087830	3402.891593973647	10220.027620171675
Mouse	569670455	2316.7774412608514	15325.136323776922
Mouse	567029686	2487.7793029602253	15509.046390402646
Mouse	473564515	2988.220167713736	10286.347163226632
Mouse	591268268	3475.9122665963478	15701.427865442252
Mouse	586072188	1009.7979374501327	7405.518148751744
Mouse	502269786	5926.681327281987	14222.953756514413
Mouse	574059157	3217.862747408029	13609.289084428307
Mouse	561517025	5288.426794460502	19432.740926452858
Mouse	560753350	9627.084515368042	23933.563956005408
Mouse	535728342	2117.475758588204	7734.855167273427
Mouse	566647353	3111.3396804499116	9787.965087563143
Mouse	585946742	804.1868787491652	6887.841882167218
Mouse	514767977	1434.243976707909	7185.753024700127
Mouse	571306690	4722.2262186833805	15779.694938610233
Mouse	577369606	1923.882542416598	10524.312447230566
Mouse	567354967	1938.184057085932	15810.996383955411
Mouse	561553133	3300.117138207078	6073.710236855891
Mouse	333604946	2698.1761297455273	9198.74960764534
Mouse	473943881	3650.553359176376	15555.10895236339
Mouse	519749342	3564.958964250794	17361.336176640594
Mouse	475549284	4672.176709024622	22471.824305388647
Mouse	566541912	2426.5481705062753	15788.253847051663
Mouse	486896849	8817.933657837959	34582.79826543686
Mouse	582644266	977.7576509487053	6285.01308353359
Mouse	586559181	3002.8346911900344	16817.063925062546
