	specimen_id	dendrite_type	cell_firing_rate	threshold_i_long_square	sweep_number	sweep_FR	stimulus_absolute_amplitude	nm_volume
5503	569809287	aspiny	16.037292049779698	50.0	41	17.000340006800137	90.0000005077395	1376.7014433110285
5504	569809287	aspiny	16.037292049779698	50.0	42	13.000260005200104	90.0000005077395	1376.7014433110285
5505	569809287	aspiny	16.037292049779698	50.0	43	18.000360007200143	90.0000005077395	1376.7014433110285
5506	569809287	aspiny	16.037292049779698	50.0	44	24.000480009600192	90.0000005077395	1376.7014433110285
5507	569809287	aspiny	16.037292049779698	50.0	45	24.000480009600192	129.99999687846	1376.7014433110285
5508	569809287	aspiny	16.037292049779698	50.0	46	25.000500010000202	129.99999687846	1376.7014433110285
5509	569809287	aspiny	16.037292049779698	50.0	47	23.000460009200186	129.99999687846	1376.7014433110285
5510	569809287	aspiny	16.037292049779698	50.0	48	22.000440008800176	129.99999687846	1376.7014433110285
5518	569810649	aspiny	29.828026001810304	50.0	27	11.000220004400088	50.0000006675716	1513.0279280586317
5519	569810649	aspiny	29.828026001810304	50.0	28	22.000440008800176	69.9999988529321	1513.0279280586317
5520	569810649	aspiny	29.828026001810304	50.0	29	30.00060001200024	90.0000005077395	1513.0279280586317
5521	569810649	aspiny	29.828026001810304	50.0	30	37.0007400148003	110.000002162547	1513.0279280586317
5522	569810649	aspiny	29.828026001810304	50.0	32	50.001000020000404	149.999998533268	1513.0279280586317
5523	569810649	aspiny	29.828026001810304	50.0	33	54.00108002160043	170.000000188075	1513.0279280586317
5524	569810649	aspiny	29.828026001810304	50.0	34	58.00116002320046	190.000001842883	1513.0279280586317
5525	569810649	aspiny	29.828026001810304	50.0	35	6.000120002400048	50.0000006675716	1513.0279280586317
5526	569810649	aspiny	29.828026001810304	50.0	36	5.00010000200004	50.0000006675716	1513.0279280586317
5527	569810649	aspiny	29.828026001810304	50.0	37	4.000080001600032	50.0000006675716	1513.0279280586317
5528	569810649	aspiny	29.828026001810304	50.0	38	4.000080001600032	50.0000006675716	1513.0279280586317
5537	569818704	spiny	6.93272941557093	70.0	34	1.000020000400008	69.9999988529321	6868.938068548197
5538	569818704	spiny	6.93272941557093	70.0	35	4.000080001600032	90.0000005077395	6868.938068548197
5539	569818704	spiny	6.93272941557093	70.0	36	7.000140002800056	110.000002162547	6868.938068548197
5540	569818704	spiny	6.93272941557093	70.0	37	10.00020000400008	129.99999687846	6868.938068548197
5541	569818704	spiny	6.93272941557093	70.0	38	12.000240004800096	149.999998533268	6868.938068548197
5542	569818704	spiny	6.93272941557093	70.0	39	15.00030000600012	170.000000188075	6868.938068548197
5543	569818704	spiny	6.93272941557093	70.0	40	17.000340006800137	190.000001842883	6868.938068548197
5544	569818704	spiny	6.93272941557093	70.0	41	18.000360007200143	210.00000349769	6868.938068548197
5548	569818704	spiny	6.93272941557093	70.0	45	1.000020000400008	90.0000005077395	6868.938068548197
5549	569818704	spiny	6.93272941557093	70.0	46	1.000020000400008	90.0000005077395	6868.938068548197
5550	569818704	spiny	6.93272941557093	70.0	47	1.000020000400008	90.0000005077395	6868.938068548197
5551	569818704	spiny	6.93272941557093	70.0	48	1.000020000400008	90.0000005077395	6868.938068548197
5552	569818704	spiny	6.93272941557093	70.0	49	7.000140002800056	129.99999687846	6868.938068548197
5553	569818704	spiny	6.93272941557093	70.0	50	7.000140002800056	129.99999687846	6868.938068548197
5554	569818704	spiny	6.93272941557093	70.0	51	7.000140002800056	129.99999687846	6868.938068548197
5555	569818704	spiny	6.93272941557093	70.0	52	7.000140002800056	129.99999687846	6868.938068548197
5556	569818704	spiny	6.93272941557093	70.0	53	12.000240004800096	170.000000188075	6868.938068548197
5557	569818704	spiny	6.93272941557093	70.0	54	12.000240004800096	170.000000188075	6868.938068548197
5558	569818704	spiny	6.93272941557093	70.0	55	12.000240004800096	170.000000188075	6868.938068548197
5559	569818704	spiny	6.93272941557093	70.0	56	12.000240004800096	170.000000188075	6868.938068548197
5566	569820026	spiny	25.420497394399	50.0	34	5.00010000200004	50.0000006675716	2409.948926866389
5567	569820026	spiny	25.420497394399	50.0	35	16.000320006400127	69.9999988529321	2409.948926866389
5568	569820026	spiny	25.420497394399	50.0	36	25.000500010000202	90.0000005077395	2409.948926866389
5569	569820026	spiny	25.420497394399	50.0	37	32.000640012800254	110.000002162547	2409.948926866389
5570	569820026	spiny	25.420497394399	50.0	38	38.000760015200306	129.99999687846	2409.948926866389
5571	569820026	spiny	25.420497394399	50.0	39	43.000860017200345	149.999998533268	2409.948926866389
5572	569820026	spiny	25.420497394399	50.0	40	48.000960019200384	170.000000188075	2409.948926866389
5573	569820026	spiny	25.420497394399	50.0	41	52.00104002080042	190.000001842883	2409.948926866389
