Species	Specimen_ID	Total_Volume
Human	531526539	5229.498591738633
Human	569820026	2409.9489268663892
Human	569820130	3754.891835086267
Human	545604343	4390.106275686686
Human	571525618	1788.3395089047463
Human	571624532	9996.764214634746
Human	596052605	7725.52594275135
Human	508378649	3511.5477681579564
Human	595568262	1337.1838641337415
Human	508417989	13501.465620698471
Human	537261100	10344.427246643985
Human	611623402	5705.183172624635
Human	571527806	4863.998868097952
Human	542137330	5031.200820976616
Human	571691416	13035.020727039022
Human	571735073	17342.763401108783
Human	526714733	5406.365626176695
Human	613468354	2387.692379952247
Human	569821470	6078.089386788611
Human	526734407	10702.582355434079
Human	611598198	909.8492376456159
Human	526800653	14439.909909673283
Human	595562635	1604.9096348169005
Human	561435279	3047.6866368069573
Human	571464200	4197.334653531273
Human	571624971	27535.474404003966
Human	643575207	5613.427109213091
Human	529845713	9374.553815795594
Human	571429412	4271.056452550421
Human	537204107	6918.757256522175
Human	541540569	7123.326125779585
Human	508305938	8496.656476209595
Human	525133308	3856.2118896239303
Human	529898751	8262.554767645624
Human	537266147	8509.52195138341
Human	596887423	2117.346160594306
Human	528022041	12111.044713809995
Human	531517732	7945.344104656367
Human	614651270	9032.06536877881
Human	530081951	1824.3230564884825
Human	569100745	6549.934517570303
Human	569825715	2375.7879794809123
Human	596036453	2243.3702586845525
Human	541545716	3935.534464493512
Human	527941296	9517.903612662247
Human	576120017	9316.246305653976
Human	526725807	4819.206980739895
Human	526727406	6836.411853261502
Human	571642127	6387.988014552613
Human	539537094	16396.711785516192
Human	528602977	4281.965033892313
Human	528687520	9877.010790912873
Human	488386504	4337.309142682827
Human	539653924	6446.598275341944
Human	508279351	4285.64297931053
Human	569818704	6868.9380685481965
Human	537297470	6829.806712210557
Human	571430815	3586.663437790852
Human	508405843	1996.795681284981
Human	571666289	11272.806654501986
Human	520454345	9385.344767713075
Human	596028822	1602.0464572111844
Human	571450870	6680.116916729935
Human	548440226	14814.429650712726
Human	520631294	10955.672562049835
Human	569849486	4299.626481843579
Human	537218493	7536.9309150119425
Human	571654895	6816.98141821325
Human	571700636	6348.96791070495
Human	548425467	5030.128663434241
Human	537313158	9049.621411115337
Human	569107566	2343.800950251054
Human	528614014	12093.270674916059
Human	548457754	13495.33430043845
Human	611610514	5349.423831749766
Human	528015670	3467.4819595875597
Human	531523484	6680.200141978365
Human	528623840	4704.086616121056
Human	541563728	6440.797004244428
Human	529878215	4611.912975784641
Human	562381210	8023.658481576271
Human	595570553	2686.245752161816
Human	558211203	7352.461481232278
Human	529863215	8273.977024482558
Human	567742660	6415.23897421309
Human	571520182	2147.4560808828105
Human	488418027	4460.977077878065
Human	571659461	4965.485760492449
Human	531517778	15178.101251876953
Human	539542640	14949.711491966515
Human	529889679	4273.1226731373645
Human	537313600	9330.746773407574
Human	569844159	3147.6585230513415
Human	528636794	7107.722593766743
Human	576107598	5165.118531141772
Human	508298270	16576.774949734692
Human	545612828	27087.0107824636
Human	527952884	2222.127063469954
Human	561469082	7546.625958346901
Human	601958555	14274.425162055031
